,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,B.O.D. (mg/l) : Min : < 3 mg/l,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,CONDUCTIVITY (µmhos/cm) : Min,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,NITRATE- N+ NITRITE-N (mg/l) : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,TEMPERATURE ºC : Min,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,pH : Min : 6.5-8.5,B.O.D. (mg/l) : Max : < 3 mg/l_imp,B.O.D. (mg/l) : Mean : < 3 mg/l_imp,B.O.D. (mg/l) : Min : < 3 mg/l_imp,CONDUCTIVITY (µmhos/cm) : Max_imp,CONDUCTIVITY (µmhos/cm) : Mean_imp,CONDUCTIVITY (µmhos/cm) : Min_imp,STATION CODE,LOCATIONS,State
4,1.0,0.9,0.8,1950.0,1687.0,1520.0,0.0,0.0,0.0,8.0,4.6,3.1,30.6,28.5,27.0,40.0,32.0,20.0,8.1,7.9,7.2,1.0,0.9,0.8,1950.0,1687.0,1520.0,1517.0,"B/W. - TUNGBHADRA RIVER NEAR KURNOOL, A.P.",andhra_pradesh
5,1.6,1.4,1.0,5000.0,3720.0,2150.0,0.0,0.0,0.0,14.0,8.4,4.0,35.0,29.6,27.0,50.0,36.0,20.0,8.2,7.9,7.8,1.6,1.4,1.0,5000.0,3720.0,2150.0,1518.0,"B/W. - NANDYAL, KURNOOL DIST., A.P.",andhra_pradesh
6,1.8,1.4,1.1,1510.0,1131.0,730.0,0.0,0.0,0.0,3.1,1.7,0.0,37.0,29.2,27.0,30.0,30.0,30.0,8.1,7.9,7.8,1.8,1.4,1.1,1510.0,1131.0,730.0,1519.0,"B/W. - NAGIRI, CHITTOOR DIST., A.P",andhra_pradesh
7,1.5,1.3,1.1,1100.0,966.0,723.0,0.0,0.0,0.0,11.5,4.6,2.1,39.5,31.1,27.0,40.0,34.0,20.0,8.3,7.9,7.6,1.5,1.3,1.1,1100.0,966.0,723.0,1520.0,"B/W. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST., A.P.",andhra_pradesh
8,1.0,1.0,1.0,1790.0,1790.0,1790.0,9.0,9.0,9.0,5.4,5.4,5.4,25.0,25.0,25.0,120.0,120.0,120.0,7.7,7.7,7.7,1.0,1.0,1.0,1790.0,1790.0,1790.0,1521.0,"O/W. - NEAR RAMA TEMPLE , WARD NO.2 , MINDI , VISAKHAPATNAM, A.P",andhra_pradesh
9,1.2,1.1,1.0,1343.0,962.0,771.0,23.0,16.0,4.0,1.8,1.4,1.1,29.0,26.0,25.0,150.0,84.0,4.0,7.7,7.4,7.2,1.2,1.1,1.0,1343.0,962.0,771.0,1522.0,"O/W. PEDDANUYYI - VIZIANAGARAM, A.P",andhra_pradesh
10,1.0,1.0,1.0,347.0,347.0,347.0,3.0,3.0,3.0,0.2,0.2,0.2,27.0,27.0,27.0,14.0,14.0,14.0,7.9,7.9,7.9,1.0,1.0,1.0,347.0,347.0,347.0,1523.0,"B/W. - NEAR M/S ANDHRA SUGARS LTD. , KOVVUR , W.G.DIST., A.P",andhra_pradesh
11,1.2,1.2,1.2,1904.0,1904.0,1904.0,4.0,4.0,4.0,1.5,1.5,1.5,26.0,26.0,26.0,4.0,4.0,4.0,7.4,7.4,7.4,1.2,1.2,1.2,1904.0,1904.0,1904.0,1524.0,"O/W. -NEAR PARTAP NAGAR BRIIDGE -KAKINADA , E.G.DIST., A.P",andhra_pradesh
13,1.0,1.0,1.0,1462.0,1462.0,1462.0,10.0,10.0,10.0,5.0,5.0,5.0,28.0,28.0,28.0,64.0,64.0,64.0,7.5,7.5,7.5,1.0,1.0,1.0,1462.0,1462.0,1462.0,1810.0,"B/W - SRI RAMNAGAR COLONY, SAKKAR NAGAR, BODHAN, NIZAMABAD DIST. , A.P",andhra_pradesh
14,1.8,1.8,1.8,4010.0,4010.0,4010.0,10.0,10.0,10.0,2.0,2.0,2.0,29.0,29.0,29.0,32.0,32.0,32.0,6.9,6.9,6.9,1.8,1.8,1.8,4010.0,4010.0,4010.0,1811.0,"B/W. - PRIMARY SCHOOL - RUDRAVELLI (V) , BIBINAGAR (M), NALGONDA DIST., A.P",andhra_pradesh
17,1.2,1.2,1.2,2951.0,2951.0,2951.0,4.0,4.0,4.0,4.7,4.7,4.7,25.0,25.0,25.0,9.0,9.0,9.0,7.7,7.7,7.7,1.2,1.2,1.2,2951.0,2951.0,2951.0,3089.0,"HAND PUMP AT TANAM VILL., VISHAKHAPATNAM, A.P.",andhra_pradesh
18,1.0,1.0,1.0,2311.0,2311.0,2311.0,120.0,120.0,120.0,8.6,8.6,8.6,26.0,26.0,26.0,2400.0,2400.0,2400.0,7.2,7.2,7.2,1.0,1.0,1.0,2311.0,2311.0,2311.0,3090.0,"HAND PUMP AT PITTAVANIPALEM, VISHAKHAPATNAM , A.P.",andhra_pradesh
19,1.0,1.0,1.0,2608.0,2608.0,2608.0,4.0,4.0,4.0,8.8,8.8,8.8,25.0,25.0,25.0,28.0,28.0,28.0,7.8,7.8,7.8,1.0,1.0,1.0,2608.0,2608.0,2608.0,3091.0,"BORE WELL AT KAPULUPPADA DUMPSITE, VISHAKHAPATNAM, A.P.",andhra_pradesh
20,1.0,1.0,1.0,911.0,911.0,911.0,9.0,9.0,9.0,3.5,3.5,3.5,25.0,25.0,25.0,120.0,120.0,120.0,7.6,7.6,7.6,1.0,1.0,1.0,911.0,911.0,911.0,3092.0,"BORE WELL AT ARINAMA AKKIVALASA, SRIKAKULAM, A.P.",andhra_pradesh
21,1.0,1.0,1.0,2096.0,2096.0,2096.0,4.0,4.0,4.0,6.3,6.3,6.3,25.0,25.0,25.0,11.0,11.0,11.0,7.9,7.9,7.9,1.0,1.0,1.0,2096.0,2096.0,2096.0,3093.0,"B/W AT ALLADAPALEM VILLAGE, PYDIBHIMAVARAM, DISTT SRIKAKULAM, A.P.",andhra_pradesh
29,1.0,1.0,1.0,497.0,497.0,497.0,10.0,10.0,10.0,3.0,3.0,3.0,30.0,30.0,30.0,24.0,24.0,24.0,7.9,7.9,7.9,1.0,1.0,1.0,497.0,497.0,497.0,27.0,B/w at Peddavoora ,andhra_pradesh
32,1.8,1.4,0.9,364.0,333.0,302.0,0.0,0.0,0.0,0.7,0.5,0.3,25.0,24.5,24.0,91.0,91.0,91.0,7.5,7.0,6.4,1.8,1.4,0.9,364.0,333.0,302.0,1535.0,"*SIBSAGAR , ASSAM",assam
33,2.4,1.9,1.3,885.0,791.0,696.0,0.0,0.0,0.0,0.4,0.3,0.1,25.0,22.5,20.0,91.0,46.0,0.0,5.8,5.7,5.5,2.4,1.9,1.3,885.0,791.0,696.0,1536.0,"*SIBSAGAR, ASSAM",assam
35,1.0,0.7,0.3,149.0,125.0,100.0,36.0,18.0,0.0,4.8,3.7,2.5,24.0,22.0,20.0,4600.0,2300.0,0.0,5.4,5.1,4.7,1.0,0.7,0.3,149.0,125.0,100.0,1538.0,"*SILCHAR, ASSAM",assam
36,2.9,2.0,1.0,1043.0,599.0,154.0,0.0,0.0,0.0,2.5,1.5,0.5,31.0,27.5,24.0,0.0,0.0,0.0,7.4,6.8,6.2,2.9,2.0,1.0,1043.0,599.0,154.0,1539.0,"*BARPETA, ASSAM",assam
37,1.3,1.1,0.9,746.0,446.0,146.0,0.0,0.0,0.0,0.4,0.3,0.1,32.0,27.5,23.0,0.0,0.0,0.0,6.4,5.9,5.3,1.3,1.1,0.9,746.0,446.0,146.0,1540.0,"*BONAIGAON, ASSAM",assam
39,2.4,1.5,0.6,991.0,716.0,440.0,36.0,18.0,0.0,1.1,0.9,0.6,26.0,25.0,24.0,91.0,46.0,0.0,7.3,6.9,6.5,2.4,1.5,0.6,991.0,716.0,440.0,1542.0,"*GUWAHATI, ASSAM",assam
40,0.9,0.8,0.7,745.0,591.0,436.0,0.0,0.0,0.0,9.8,8.3,6.7,23.0,23.0,23.0,0.0,0.0,0.0,5.7,5.7,5.7,0.9,0.8,0.7,745.0,591.0,436.0,2243.0,"GROUND WATER FROM LEDO, MARGHERITA",assam
42,1.1,1.0,0.9,400.0,248.0,95.0,430.0,230.0,30.0,4.0,2.5,1.0,28.0,26.5,25.0,1500.0,966.0,431.0,5.9,5.7,5.4,1.1,1.0,0.9,400.0,248.0,95.0,2245.0,GROUND WATER FROM NUMALIGARH (NEAR NRL TE LABOR COLONY),assam
43,0.9,0.8,0.7,617.0,544.0,470.0,0.0,0.0,0.0,0.2,0.1,0.0,22.0,21.0,20.0,0.0,0.0,0.0,6.9,6.6,6.2,0.9,0.8,0.7,617.0,544.0,470.0,2246.0,GROUND WATER FROM SEMENCHAPARI,assam
44,0.7,0.5,0.2,706.0,649.0,591.0,0.0,0.0,0.0,6.3,3.3,0.3,22.0,21.0,20.0,36.0,18.0,0.0,6.2,6.2,6.1,0.7,0.5,0.2,706.0,649.0,591.0,2247.0,GROUND WATER FROM SILAPATHAR,assam
46,1.1,1.1,1.0,247.0,195.0,142.0,0.0,0.0,0.0,1.7,1.3,0.8,28.0,27.0,26.0,36.0,18.0,0.0,6.4,6.1,5.8,1.1,1.1,1.0,247.0,195.0,142.0,2249.0,GROUND WATER FROM TEZPUR (MISSION CHARIALI),assam
47,0.7,0.6,0.4,578.0,475.0,371.0,0.0,0.0,0.0,2.1,1.6,1.0,29.0,28.5,28.0,0.0,0.0,0.0,6.6,6.6,6.5,0.7,0.6,0.4,578.0,475.0,371.0,2250.0,GROUND WATER FROM NAGAON (PANIGAON),assam
49,1.3,1.3,1.3,417.0,417.0,417.0,0.0,0.0,0.0,0.1,0.1,0.1,24.0,24.0,24.0,0.0,0.0,0.0,6.4,6.4,6.4,1.3,1.3,1.3,417.0,417.0,417.0,2252.0,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI,assam
50,1.1,1.1,1.1,745.0,601.0,456.0,0.0,0.0,0.0,6.5,5.5,4.4,26.0,25.5,25.0,0.0,0.0,0.0,7.1,6.9,6.6,1.1,1.1,1.1,745.0,601.0,456.0,2253.0,GROUND WATER FROM NALBARI,assam
52,1.0,0.8,0.6,893.0,747.0,600.0,0.0,0.0,0.0,7.3,6.1,4.9,32.0,29.3,26.5,4600.0,2300.0,0.0,7.4,6.9,6.4,1.0,0.8,0.6,893.0,747.0,600.0,2255.0,"GROUND WATER NEAR BPRL, DHALIGAON",assam
53,0.6,0.6,0.6,893.0,515.0,136.0,91.0,46.0,0.0,4.9,4.0,3.0,32.0,28.5,25.0,930.0,645.0,360.0,6.5,6.5,6.4,0.6,0.6,0.6,893.0,515.0,136.0,2256.0,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),assam
54,1.2,0.9,0.5,1036.0,883.0,729.0,2300.0,1150.0,0.0,0.5,0.3,0.1,34.0,29.1,24.2,2301.0,1196.0,91.0,7.2,7.2,7.2,1.2,0.9,0.5,1036.0,883.0,729.0,2257.0,GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ),assam
55,1.1,0.8,0.4,613.0,539.0,465.0,0.0,0.0,0.0,3.1,3.0,2.8,33.0,30.0,27.0,2300.0,1265.0,230.0,6.6,6.6,6.5,1.1,0.8,0.4,613.0,539.0,465.0,2258.0,GROUND WATER FROM GOALPARA DIST. (GOALPARA COLLEGE ),assam
56,2.8,1.8,0.7,1904.0,1515.0,1126.0,0.0,0.0,0.0,1.9,1.6,1.2,29.0,28.5,28.0,0.0,0.0,0.0,7.5,7.4,7.2,2.8,1.8,0.7,1904.0,1515.0,1126.0,2259.0,GROUND WATER FROM DIPHU (GOVT. COLLEGE),assam
58,0.9,0.9,0.9,330.0,330.0,330.0,0.0,0.0,0.0,4.7,4.7,4.7,12.0,12.0,12.0,430.0,430.0,430.0,6.5,6.5,6.5,0.9,0.9,0.9,330.0,330.0,330.0,2262.0,GROUND WATER FROM KARIMGANJ (COLLEGE),assam
59,0.5,0.5,0.4,417.0,363.0,309.0,0.0,0.0,0.0,1.6,1.1,0.5,20.0,16.5,13.0,0.0,0.0,0.0,6.9,6.6,6.2,0.5,0.5,0.4,417.0,363.0,309.0,2263.0,GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),assam
61,2.688188194740272,2.3939667289532944,1.37812993188635,1140.0,1140.0,1140.0,11.0,11.0,11.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,22.0,22.0,7.1,7.1,7.1,3.0568750000000002,2.2162499999999996,1.5543750000000007,1140.0,1140.0,1140.0,1825.0,PATNA,bihar
62,2.6946487826805945,2.3807309754852404,1.4724614448581408,609.0,609.0,609.0,7.0,7.0,7.0,0.0,0.0,0.0,25.0,25.0,25.0,17.0,17.0,17.0,7.7,7.7,7.7,3.0568750000000002,2.2162499999999996,1.5543750000000007,609.0,609.0,609.0,1826.0,PATNA,bihar
68,2.611737058190103,2.426028116205319,1.435507529323618,1355.1910968668822,1239.9156655820693,1094.2132624217102,6.0,6.0,6.0,0.0,0.0,0.0,24.0,24.0,24.0,14.0,14.0,14.0,7.4,7.4,7.4,3.0568750000000002,2.2162499999999996,1.5543750000000007,1368.2362637362637,1234.3131868131868,1102.521978021978,1832.0,BEGUSARAI,bihar
69,2.616875995432828,2.420647789384785,1.4592815188163595,1356.1057088975099,1239.4573173377048,1095.1815555953272,4.0,4.0,4.0,0.0,0.0,0.0,24.0,24.0,24.0,7.0,7.0,7.0,7.5,7.5,7.5,3.0568750000000002,2.2162499999999996,1.5543750000000007,1368.2362637362637,1234.3131868131868,1102.521978021978,1833.0,BEGUSARAI,bihar
70,2.599521905499957,2.4368445568725323,1.4240133187452695,1355.4989032976746,1240.0389842635045,1093.0313817299811,4.0,4.0,4.0,0.0,0.0,0.0,26.0,26.0,26.0,8.0,8.0,8.0,7.4,7.4,7.4,3.0568750000000002,2.2162499999999996,1.5543750000000007,1368.2362637362637,1234.3131868131868,1102.521978021978,1834.0,PURNEA,bihar
71,2.61168476403566,2.4260595613324116,1.4354212439977825,1355.1770380881794,1239.9231412586082,1094.1975806790779,6.0,6.0,6.0,0.0,0.0,0.0,24.0,24.0,24.0,12.0,12.0,12.0,7.4,7.4,7.4,3.0568750000000002,2.2162499999999996,1.5543750000000007,1368.2362637362637,1234.3131868131868,1102.521978021978,1835.0,PURNEA,bihar
72,2.600527817929221,2.4363959715202586,1.42361833824157,1355.5790551842374,1239.9987853834896,1093.110960634358,6.0,6.0,6.0,0.0,0.0,0.0,26.0,26.0,26.0,20.0,20.0,20.0,7.4,7.4,7.4,3.0568750000000002,2.2162499999999996,1.5543750000000007,1368.2362637362637,1234.3131868131868,1102.521978021978,1836.0,BEGUSARAI,bihar
73,2.5948859244718636,2.4420005910169293,1.4000418390006784,1354.6243672103278,1240.4772330678618,1092.1028780085526,7.0,7.0,7.0,0.0,0.0,0.0,26.0,26.0,26.0,21.0,21.0,21.0,7.3,7.3,7.3,3.0568750000000002,2.2162499999999996,1.5543750000000007,1368.2362637362637,1234.3131868131868,1102.521978021978,1837.0,BEGUSARAI,bihar
74,2.5927110554025847,2.442917661071513,1.4015901448778576,1354.5153695554886,1240.5291383703964,1092.0058620747204,2.0,2.0,2.0,0.0,0.0,0.0,26.0,26.0,26.0,4.0,4.0,4.0,7.3,7.3,7.3,3.0568750000000002,2.2162499999999996,1.5543750000000007,1368.2362637362637,1234.3131868131868,1102.521978021978,1838.0,MUNGER,bihar
75,2.6052311139392845,2.431597738960878,1.4301304849379644,1355.3330416964027,1239.9824730097166,1093.6138961089218,4.0,4.0,4.0,0.0,0.0,0.0,25.0,25.0,25.0,9.0,9.0,9.0,7.4,7.4,7.4,3.0568750000000002,2.2162499999999996,1.5543750000000007,1368.2362637362637,1234.3131868131868,1102.521978021978,1839.0,MUNGER,bihar
76,2.676211913629608,2.4005272260376795,1.4209877673178557,768.0,768.0,768.0,11.0,11.0,11.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,7.5,7.5,7.5,3.0568750000000002,2.2162499999999996,1.5543750000000007,768.0,768.0,768.0,1840.0,MOTIHARI,bihar
78,2.6935780785792605,2.381254081365691,1.4685062392547563,546.0,546.0,546.0,8.0,8.0,8.0,0.0,0.0,0.0,25.0,25.0,25.0,13.0,13.0,13.0,7.7,7.7,7.7,3.0568750000000002,2.2162499999999996,1.5543750000000007,546.0,546.0,546.0,2578.0,BHOJPUR,bihar
79,2.6879162919042154,2.3864597577561937,1.4623935934418972,542.0,542.0,542.0,8.0,8.0,8.0,0.0,0.0,0.0,26.0,26.0,26.0,17.0,17.0,17.0,7.7,7.7,7.7,3.0568750000000002,2.2162499999999996,1.5543750000000007,542.0,542.0,542.0,2579.0,WELL AT BUXAR,bihar
80,2.6587653259099864,2.4174332224127695,1.3599769307354352,896.0,896.0,896.0,6.0,6.0,6.0,0.0,0.0,0.0,27.0,27.0,27.0,14.0,14.0,14.0,7.2,7.2,7.2,3.0568750000000002,2.2162499999999996,1.5543750000000007,896.0,896.0,896.0,2581.0,WELL-1 AT DARBHANGA,bihar
81,2.7231354756129034,2.3568224600925753,1.5289282680829126,886.0,886.0,886.0,6.0,6.0,6.0,0.0,0.0,0.0,22.0,22.0,22.0,17.0,17.0,17.0,7.8,7.8,7.8,3.0568750000000002,2.2162499999999996,1.5543750000000007,886.0,886.0,886.0,2582.0,WELL-2 AT DARBHANGA,bihar
82,2.69314345444504,2.38172501893392,1.456535153657714,610.0,610.0,610.0,4.0,4.0,4.0,0.0,0.0,0.0,24.0,24.0,24.0,11.0,11.0,11.0,7.6,7.6,7.6,3.0568750000000002,2.2162499999999996,1.5543750000000007,610.0,610.0,610.0,2583.0,"WELL-1 AT GOPALGANJ (SPECIFY LOCATION), BIHAR",bihar
83,2.688141903242008,2.386708909171112,1.4495677488107657,612.0,612.0,612.0,6.0,6.0,6.0,0.0,0.0,0.0,25.0,25.0,25.0,9.0,9.0,9.0,7.6,7.6,7.6,3.0568750000000002,2.2162499999999996,1.5543750000000007,612.0,612.0,612.0,2584.0,"WELL-2 AT GOPALGANJ (SPECIFY LOCATION), BIHAR",bihar
84,2.6069141530436255,2.4304999923067756,1.446368430349585,1356.5436011511956,1239.517517201797,1094.1202134513787,7.0,7.0,7.0,0.0,0.0,0.0,26.0,26.0,26.0,21.0,21.0,21.0,7.5,7.5,7.5,3.0568750000000002,2.2162499999999996,1.5543750000000007,1368.2362637362637,1234.3131868131868,1102.521978021978,2587.0,KHAGARIA,bihar
85,2.6049523551699525,2.432085497840754,1.4131274981191237,1354.2145925140476,1240.4020818506917,1093.1955836377656,4.0,4.0,4.0,0.0,0.0,0.0,24.0,24.0,24.0,11.0,11.0,11.0,7.3,7.3,7.3,3.0568750000000002,2.2162499999999996,1.5543750000000007,1368.2362637362637,1234.3131868131868,1102.521978021978,2589.0,MADHEPURA,bihar
86,2.6234492546656174,2.415435968214243,1.4471992301538161,1354.8432144928088,1239.8124463406416,1095.3553536612508,7.0,7.0,7.0,0.0,0.0,0.0,22.0,22.0,22.0,14.0,14.0,14.0,7.4,7.4,7.4,3.0568750000000002,2.2162499999999996,1.5543750000000007,1368.2362637362637,1234.3131868131868,1102.521978021978,2594.0,SAHARSA,bihar
87,2.6097602394889026,2.4272243750271882,1.419812215467189,1353.9966965836184,1240.370818123841,1093.729882597594,2.0,2.0,2.0,0.0,0.0,0.0,23.0,23.0,23.0,4.0,4.0,4.0,7.3,7.3,7.3,3.0568750000000002,2.2162499999999996,1.5543750000000007,1368.2362637362637,1234.3131868131868,1102.521978021978,2595.0,SAMASTIPUR,bihar
88,2.6915179171715593,2.3810281926450134,1.5132752110219059,411.0,411.0,411.0,7.0,7.0,7.0,0.0,0.0,0.0,28.0,28.0,28.0,17.0,17.0,17.0,8.0,8.0,8.0,3.0568750000000002,2.2162499999999996,1.5543750000000007,411.0,411.0,411.0,2596.0,SITAMARHI,bihar
90,2.684442029573683,2.388699818737143,1.4266523063542529,486.0,486.0,486.0,4.0,4.0,4.0,0.0,0.0,0.0,24.0,24.0,24.0,7.0,7.0,7.0,7.5,7.5,7.5,3.0568750000000002,2.2162499999999996,1.5543750000000007,486.0,486.0,486.0,2600.0,VAISHALI,bihar
92,2.668959441291262,2.404389628398905,1.382637901596629,630.0,630.0,630.0,2.0,2.0,2.0,0.0,0.0,0.0,25.0,25.0,25.0,4.0,4.0,4.0,7.3,7.3,7.3,3.0568750000000002,2.2162499999999996,1.5543750000000007,630.0,630.0,630.0,3140.0,BETTIAH (SPECIFY LOCATION),bihar
94,2.6121354260958487,2.425866713783367,1.4351374684200973,1355.203055252758,1239.9105174951396,1094.221688388634,7.0,7.0,7.0,0.0,0.0,0.0,24.0,24.0,24.0,16.0,16.0,16.0,7.4,7.4,7.4,3.0568750000000002,2.2162499999999996,1.5543750000000007,1368.2362637362637,1234.3131868131868,1102.521978021978,3148.0,JAMALPUR (SPECIFY LOCATION),bihar
95,2.7032730368337448,2.3711949387566116,1.4913113562520939,432.0,432.0,432.0,9.0,9.0,9.0,0.0,0.0,0.0,24.0,24.0,24.0,14.0,14.0,14.0,7.8,7.8,7.8,3.0568750000000002,2.2162499999999996,1.5543750000000007,432.0,432.0,432.0,3150.0,MANER (SPECIFY LOCATION),bihar
96,2.6842868077015396,2.3888090040105805,1.4205541700768212,392.0,392.0,392.0,8.0,8.0,8.0,0.0,0.0,0.0,24.0,24.0,24.0,23.0,23.0,23.0,7.5,7.5,7.5,3.0568750000000002,2.2162499999999996,1.5543750000000007,392.0,392.0,392.0,3152.0,NARKATIAGANJ (SPECIFY LOCATION),bihar
97,2.698941262322544,2.3885922594397555,1.4340108540596417,1810.0,1810.0,1810.0,2.0,2.0,2.0,0.0,0.0,0.0,23.0,23.0,23.0,6.0,6.0,6.0,7.2,7.2,7.2,3.0568750000000002,2.2162499999999996,1.5543750000000007,1810.0,1810.0,1810.0,3156.0,SAMASTIPUR (SPECIFY LOCATION),bihar
98,2.6821858284208835,2.392068676075844,1.4413523559534458,576.0,576.0,576.0,7.0,7.0,7.0,0.0,0.0,0.0,26.0,26.0,26.0,14.0,14.0,14.0,7.6,7.6,7.6,3.0568750000000002,2.2162499999999996,1.5543750000000007,576.0,576.0,576.0,3159.0,SHAHPUR (SPECIFY LOCATION),bihar
99,2.6611220956662067,2.416669671356851,1.3498783629399773,806.0,806.0,806.0,18.0,18.0,18.0,0.0,0.0,0.0,27.0,27.0,27.0,17.0,17.0,17.0,7.2,7.2,7.2,3.0568750000000002,2.2162499999999996,1.5543750000000007,806.0,806.0,806.0,3160.0,"RAXAUL (SPECIFY LOCATION), BIHAR",bihar
100,2.595734954437798,2.441646341045932,1.3993880025194725,1354.6623427607824,1240.4594612174635,1092.1354116850325,9.0,9.0,9.0,0.0,0.0,0.0,26.0,26.0,26.0,27.0,27.0,27.0,7.3,7.3,7.3,3.0568750000000002,2.2162499999999996,1.5543750000000007,1368.2362637362637,1234.3131868131868,1102.521978021978,3161.0,KATIHAR (SPECIFY LOCATION),bihar
